ship "CF: FG-10 Exchanger"
	sprite "ship/mgf exchanger"
	thumbnail "thumbnail/mgf exchanger thumb"
	attributes
		category "Superheavy"
		"cost" 888000000
		"shields" 196000
		"hull" 185000
		"required crew" 1020
		"bunks" 1320
		"mass" 184500
		"drag" 685
		"heat dissipation" .3
		"fuel capacity" 3000
		"cargo space" 144000
		"outfit space" 8120
		"weapon capacity" 4550
		"engine capacity" 560
		"landing speed" .006
		"mgf fast unload" -3
		"mgf fast unload slot" 3
		weapon
			"blast radius" 140
			"shield damage" 1200
			"hull damage" 600
			"hit force" 1800
	outfits
		"EL-1388 Aphelion Turret" 18
		"Finisher Pod" 12
		"Finisher Storage Tube" 28
		"Finisher Torpedo" 1040
		"GE-22 Mini-Driver Turret" 35
		"UREB Turret" 30
		"Q4L Pulse Anti-Missile" 10

		"Blue Sun Reactor" 12
		"Systems Core (Large)" 10
		"Large Battery Module" 10
		"Hai Octopus Jammer" 5
		"Quantum Keystone"
		"SCE-3 Radar Jammer"

		"Elion Large Exotic Pool"
		"IrdaSys Large XMAX Cinema"

		`"Bufaer" Atomic Steering` 2
		`"Bufaer" Atomic Thruster` 3
		"A865 Atomic Steering"
		"Jump Drive"

		"MGF: Fast Unloading" 3

	#FrontCent
	gun 30.5 -1439 "Finisher Pod"
	gun -30.5 -1439 "Finisher Pod"
	gun 30.5 -1439 "Finisher Pod"
	gun -30.5 -1439 "Finisher Pod"
	gun 30.5 -1439 "Finisher Pod"
	gun -30.5 -1439 "Finisher Pod"
	#Sideblock
	gun 158.5 -1182 "Finisher Pod"
	gun -158.5 -1182 "Finisher Pod"
	gun 158.5 -1117 "Finisher Pod"
	gun -158.5 -1117 "Finisher Pod"
	gun 158.5 -1048.5 "Finisher Pod"
	gun -158.5 -1048.5 "Finisher Pod"
	#FrontCent Upper
	turret 0 -1204.5 "Q4L Pulse Anti-Missile"
	#turret 0 -1165.5
	turret 0 -1114.5 "Q4L Pulse Anti-Missile"
	#turret 0 -1044.5
	turret 0 -998.5 "Q4L Pulse Anti-Missile"
	#Lower side after guns
	turret 157 -937 "Q4L Pulse Anti-Missile"
	turret -157 -937 "Q4L Pulse Anti-Missile"
	#Front upper block
	turret 109.5 -870.5 "Q4L Pulse Anti-Missile"
	turret -109.5 -870.5 "Q4L Pulse Anti-Missile"
	turret 109.5 -822 "Q4L Pulse Anti-Missile"
	turret -109.5 -822 "Q4L Pulse Anti-Missile"
	#Front Tabs
	turret 44 -679 "Q4L Pulse Anti-Missile"
	turret -44 -679 "UREB Turret"
	turret 44 -635.5 "UREB Turret"
	turret -44 -635.5 "UREB Turret"
	#Midfront center upper
	turret 0 -470.5 "UREB Turret"
	turret 0 -385.5 "UREB Turret"
	#Midfront Lower
	turret 103 -519.5 "UREB Turret"
	turret -103 -519.5 "UREB Turret"
	turret 103 -459 "UREB Turret"
	turret -103 -459 "UREB Turret"
	turret 66 -403.5 "UREB Turret"
	turret -66 -403.5 "UREB Turret"
	turret 96 -340.5 "UREB Turret"
	turret -96 -340.5 "UREB Turret"
	#MidSec Lower
	turret 231.5 -270.5 "UREB Turret"
	turret -231.5 -270.5 "UREB Turret"
	turret 326 -163.5 "UREB Turret"
	turret -326 -163.5 "UREB Turret"
	turret 326 -73.5 "UREB Turret"
